GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ticket-service,com.epam.training.ticketservice.repository.impl,JpaUserRepository,13,0,0,0,3,0,2,0,2,0
ticket-service,com.epam.training.ticketservice.repository.impl,JpaRoomRepository,30,47,0,0,6,13,2,6,2,6
ticket-service,com.epam.training.ticketservice.repository.impl,JpaMovieRepository,30,47,0,0,5,13,2,6,2,6
ticket-service,com.epam.training.ticketservice.repository.impl,JpaScreeningRepository,10,51,0,0,3,17,1,6,1,6
ticket-service,com.epam.training.ticketservice.exception,PasswordDoesntMatchException,3,0,0,0,1,0,1,0,1,0
ticket-service,com.epam.training.ticketservice.exception,UserNotFoundException,3,0,0,0,1,0,1,0,1,0
ticket-service,com.epam.training.ticketservice.presentation.cli,TicketServicePromptProvider,8,0,0,0,2,0,2,0,2,0
ticket-service,com.epam.training.ticketservice.presentation.cli,UserCommandAvailability,34,3,8,0,11,1,7,1,3,1
ticket-service,com.epam.training.ticketservice.presentation.cli,CliApplication,8,0,0,0,3,0,2,0,2,0
ticket-service,com.epam.training.ticketservice.dataaccess.projection,RoomProjection,51,50,7,7,12,10,14,2,7,2
ticket-service,com.epam.training.ticketservice.dataaccess.projection,ScreeningProjection,53,52,7,7,14,10,15,2,8,2
ticket-service,com.epam.training.ticketservice.dataaccess.projection,UserProjection,93,0,14,0,18,0,14,0,7,0
ticket-service,com.epam.training.ticketservice.dataaccess.projection,MovieProjection,50,51,7,7,12,10,14,2,7,2
ticket-service,com.epam.training.ticketservice.dataaccess.init,UserDatabaseInitializer,17,0,0,0,5,0,2,0,2,0
ticket-service,com.epam.training.ticketservice.presentation.cli.handler,AdminCommandHandler,34,0,2,0,13,0,5,0,4,0
ticket-service,com.epam.training.ticketservice.presentation.cli.handler,MovieCommandHandler,0,31,0,0,0,10,0,5,0,5
ticket-service,com.epam.training.ticketservice.presentation.cli.handler,RoomCommandHandler,0,33,0,0,0,10,0,5,0,5
ticket-service,com.epam.training.ticketservice.presentation.cli.handler,ScreeningCommandHandler,20,10,0,0,3,4,2,2,2,2
ticket-service,com.epam.training.ticketservice.presentation.cli.configuration,CliConfiguration,3,0,0,0,1,0,1,0,1,0
ticket-service,com.epam.training.ticketservice.domain.interfaces.impl,SimpleRoom,34,53,6,6,4,12,8,5,2,5
ticket-service,com.epam.training.ticketservice.domain.interfaces.impl,SimpleScreening,32,55,6,6,4,12,8,5,2,5
ticket-service,com.epam.training.ticketservice.domain.interfaces.impl,SimpleMovie,33,54,6,6,4,12,8,5,2,5
ticket-service,com.epam.training.ticketservice.dataaccess.configuration,JpaConfiguration,3,0,0,0,1,0,1,0,1,0
ticket-service,com.epam.training.ticketservice.service,MovieService,48,96,4,2,5,25,6,7,3,7
ticket-service,com.epam.training.ticketservice.service,UserService,62,0,10,0,16,0,11,0,6,0
ticket-service,com.epam.training.ticketservice.service,ScreeningService,152,84,19,3,29,22,16,6,4,6
ticket-service,com.epam.training.ticketservice.service,RoomService,58,96,4,2,7,25,6,7,3,7
